iter	Passed	Remaining
0	6	659
1	11	580
2	18	598
3	24	595
4	29	560
5	35	554
6	40	541
7	46	530
8	52	532
9	57	516
10	62	502
11	66	485
12	70	472
13	76	472
14	81	461
15	86	452
16	89	439
17	94	429
18	98	421
19	103	412
20	107	403
21	111	395
22	114	381
23	119	377
24	124	374
25	129	367
26	133	361
27	138	356
28	143	350
29	147	343
30	152	338
31	156	333
32	161	327
33	166	322
34	170	317
35	175	311
36	180	306
37	184	301
38	189	296
39	193	290
40	198	285
41	202	280
42	207	274
43	211	269
44	216	264
45	222	261
46	226	255
47	232	251
48	236	246
49	242	242
50	247	237
51	252	232
52	257	228
53	262	223
54	268	219
55	272	214
56	277	209
57	282	204
58	287	199
59	291	194
60	296	189
61	301	184
62	305	179
63	309	174
64	313	169
65	318	163
66	322	158
67	327	154
68	331	149
69	336	144
70	340	139
71	345	134
72	349	129
73	353	124
74	357	119
75	362	114
76	366	109
77	369	104
78	373	99
79	377	94
80	381	89
81	385	84
82	389	79
83	392	74
84	396	69
85	399	65
86	403	60
87	407	55
88	411	50
89	414	46
90	417	41
91	422	36
92	426	32
93	429	27
94	432	22
95	436	18
96	439	13
97	443	9
98	446	4
99	450	0
